p1,p2,p3,p4
"['2020-09-19', 196424.54023180465]","['2020-09-26', 199725.36293006482]","['2020-10-03', 205272.2720665285]","['2020-10-10', 210267.0795903632]"
"['2020-09-19', 197062.96887922884]","['2020-09-26', 199739.2126684751]","['2020-10-03', 205315.9750337329]","['2020-10-10', 211156.85689440844]"
"['2020-09-19', 197101.35373952554]","['2020-09-26', 200029.7866859844]","['2020-10-03', 205647.82313566832]","['2020-10-10', 211389.77294277475]"
"['2020-09-19', 197143.43560237705]","['2020-09-26', 200388.67405652037]","['2020-10-03', 205656.33779883498]","['2020-10-10', 211626.6341245874]"
"['2020-09-19', 197162.8574931987]","['2020-09-26', 200480.98980238108]","['2020-10-03', 205662.96856078313]","['2020-10-10', 211891.8674837805]"
"['2020-09-19', 197325.498204087]","['2020-09-26', 200597.02360095762]","['2020-10-03', 205787.31645462033]","['2020-10-10', 212075.25476950392]"
"['2020-09-19', 197406.92532901358]","['2020-09-26', 200645.02836903394]","['2020-10-03', 205983.88231635393]","['2020-10-10', 212336.6088337907]"
"['2020-09-19', 197547.61867023545]","['2020-09-26', 201089.02391432098]","['2020-10-03', 206119.72852501445]","['2020-10-10', 212406.25890152634]"
"['2020-09-19', 197672.21004373164]","['2020-09-26', 201329.87892682053]","['2020-10-03', 206206.15091338175]","['2020-10-10', 212453.8618390086]"
"['2020-09-19', 197743.99344949782]","['2020-09-26', 201548.07830748658]","['2020-10-03', 206246.47471079277]","['2020-10-10', 212557.97259959986]"
"['2020-09-19', 197867.15217220248]","['2020-09-26', 201604.06103572054]","['2020-10-03', 206263.70435560352]","['2020-10-10', 212564.51429344763]"
"['2020-09-19', 197968.77867246215]","['2020-09-26', 201732.54804672624]","['2020-10-03', 206701.0375061502]","['2020-10-10', 212698.6370239467]"
"['2020-09-19', 198005.5515109462]","['2020-09-26', 201776.6581370009]","['2020-10-03', 207152.7998416285]","['2020-10-10', 212917.85855021517]"
"['2020-09-19', 198193.74546226586]","['2020-09-26', 201778.28138120245]","['2020-10-03', 207206.44288972614]","['2020-10-10', 212926.32326427725]"
"['2020-09-19', 198249.1062471815]","['2020-09-26', 201812.939897157]","['2020-10-03', 207207.3913353107]","['2020-10-10', 213290.2478078956]"
"['2020-09-19', 198495.51375299614]","['2020-09-26', 201921.5250893576]","['2020-10-03', 207234.2197196288]","['2020-10-10', 213330.26115851448]"
"['2020-09-19', 198753.3671402817]","['2020-09-26', 202169.74802315523]","['2020-10-03', 207704.13185129772]","['2020-10-10', 213350.1163644751]"
"['2020-09-19', 198859.07547930026]","['2020-09-26', 202215.73208633706]","['2020-10-03', 208228.7941110698]","['2020-10-10', 213749.4295804857]"
"['2020-09-19', 198897.7451924707]","['2020-09-26', 203255.33214511003]","['2020-10-03', 208560.26747020372]","['2020-10-10', 214182.5855317405]"
"['2020-09-19', 199274.07255697745]","['2020-09-26', 204669.1812130835]","['2020-10-03', 208977.7740559151]","['2020-10-10', 214254.9483342691]"
