p1,p2,p3,p4
"['2020-09-19', 199172.8726394209]","['2020-09-26', 203759.38817185874]","['2020-10-03', 208147.72892067797]","['2020-10-10', 213242.0335225706]"
"['2020-09-19', 196880.74832214718]","['2020-09-26', 202246.00468617893]","['2020-10-03', 206364.04644794017]","['2020-10-10', 212000.72697398637]"
"['2020-09-19', 198951.0654338737]","['2020-09-26', 203682.29706690495]","['2020-10-03', 207803.69056059688]","['2020-10-10', 213032.3586947961]"
"['2020-09-19', 195259.85302277227]","['2020-09-26', 200346.06877904042]","['2020-10-03', 205127.14135351958]","['2020-10-10', 210335.82086286967]"
"['2020-09-19', 201208.84032372106]","['2020-09-26', 206269.81468792833]","['2020-10-03', 210322.29154672867]","['2020-10-10', 216998.80347048963]"
"['2020-09-19', 199552.9517978333]","['2020-09-26', 204222.264251164]","['2020-10-03', 208430.06328241175]","['2020-10-10', 214083.8969711021]"
"['2020-09-19', 195197.07318953038]","['2020-09-26', 199975.53428504342]","['2020-10-03', 204650.91370660797]","['2020-10-10', 210263.40809352344]"
"['2020-09-19', 196691.41939412177]","['2020-09-26', 201805.7872708959]","['2020-10-03', 205957.1941257187]","['2020-10-10', 211461.98126342893]"
"['2020-09-19', 196053.05408274537]","['2020-09-26', 201113.73604120789]","['2020-10-03', 205731.74310055122]","['2020-10-10', 210929.42747609798]"
"['2020-09-19', 196490.40874209092]","['2020-09-26', 201424.48408029898]","['2020-10-03', 205898.15048349914]","['2020-10-10', 211272.62376115727]"
"['2020-09-19', 202734.10433272034]","['2020-09-26', 206842.86893956672]","['2020-10-03', 211162.55868886044]","['2020-10-10', 218194.4214233596]"
"['2020-09-19', 191359.1830902867]","['2020-09-26', 197434.005541019]","['2020-10-03', 201374.67729915757]","['2020-10-10', 208561.5126994026]"
"['2020-09-19', 189459.42792417915]","['2020-09-26', 194751.9772347518]","['2020-10-03', 199971.46644208717]","['2020-10-10', 205965.6590254828]"
"['2020-09-19', 200136.31470361963]","['2020-09-26', 204315.23117229994]","['2020-10-03', 209084.16219141628]","['2020-10-10', 214530.2627298156]"
